,Area Code,Local Authority Name,Area name,Area of Domestic Buildings,Area of Domestic Gardens,Area of Non Domestic Buildings,Area of Road,Area of Rail,Area of Path,Area of Greenspace,Area of Water,Area of Other Land Uses,Area of Unclassified Land,Total Area of All Land Types,Area of Admin Geography,% Area of Domestic Buildings,% Area of Domestic Gardens,% Area of Non Domestic Buildings,% Area of Road,% Area of Rail,% Area of Path,% Area of Greenspace,% Area of Water,% Area of Other Land Uses,% Area of Unclassified Land,% Total Area of All Land Types,Quality of Fit Indicator,Cluster
1,00ABFX,Barking and Dagenham,Abbey,149.04,198.92,112.17,243.22,84.44,28.06,255.31,26.11,189.04,0.0,1286.31,1278.97,11.6,15.5,8.7,18.9,6.6,2.2,19.8,2.0,14.7,0.0,100.0,0.57,0
2,00ABFY,Barking and Dagenham,Alibon,153.87,575.82,37.2,184.36,27.01,5.29,311.8,0.32,64.97,0.0,1360.64,1360.81,11.3,42.3,2.7,13.5,2.0,0.4,22.9,0.0,4.8,0.0,100.0,-0.01,2
3,00ABFZ,Barking and Dagenham,Becontree,193.96,626.05,43.68,260.83,0.0,7.31,74.92,0.0,68.5,0.0,1275.25,1284.14,15.2,49.1,3.4,20.5,0.0,0.6,5.9,0.0,5.4,0.0,100.0,-0.69,2
4,00ABGA,Barking and Dagenham,Chadwell Heath,205.58,602.38,64.79,315.29,0.0,26.09,2505.92,11.69,164.54,0.0,3896.29,3380.42,5.3,15.5,1.7,8.1,0.0,0.7,64.3,0.3,4.2,0.0,100.0,15.26,4
5,00ABGB,Barking and Dagenham,Eastbrook,215.23,658.46,166.35,292.75,30.18,41.68,1588.78,162.1,317.06,0.0,3472.59,3454.12,6.2,19.0,4.8,8.4,0.9,1.2,45.8,4.7,9.1,0.0,100.0,0.53,4
6,00ABGC,Barking and Dagenham,Eastbury,176.07,543.62,56.99,257.38,55.3,15.08,230.28,2.24,123.8,0.0,1460.77,1445.31,12.1,37.2,3.9,17.6,3.8,1.0,15.8,0.2,8.5,0.0,100.0,1.07,2
7,00ABGD,Barking and Dagenham,Gascoigne,121.57,168.74,107.21,226.63,5.64,40.24,219.69,30.14,203.02,0.0,1122.87,1133.92,10.8,15.0,9.5,20.2,0.5,3.6,19.6,2.7,18.1,0.0,100.0,-0.97,0
8,00ABGE,Barking and Dagenham,Goresbrook,164.34,548.41,31.84,212.02,13.05,10.42,246.62,2.66,59.41,0.0,1288.76,1279.96,12.8,42.6,2.5,16.5,1.0,0.8,19.1,0.2,4.6,0.0,100.0,0.69,2
9,00ABGF,Barking and Dagenham,Heath,159.01,482.75,83.71,264.49,0.0,27.63,795.74,15.27,164.66,0.0,1993.26,2005.45,8.0,24.2,4.2,13.3,0.0,1.4,39.9,0.8,8.3,0.0,100.0,-0.61,4
10,00ABGG,Barking and Dagenham,Longbridge,224.23,569.88,41.2,268.08,0.0,11.68,364.96,41.3,105.19,0.0,1626.51,1640.12,13.8,35.0,2.5,16.5,0.0,0.7,22.4,2.5,6.5,0.0,100.0,-0.83,2
11,00ABGH,Barking and Dagenham,Mayesbrook,165.75,566.94,30.35,213.38,8.64,17.02,656.6,85.19,90.3,0.0,1834.18,1850.77,9.0,30.9,1.7,11.6,0.5,0.9,35.8,4.6,4.9,0.0,100.0,-0.9,2
