"priceper","year","dateoftransfer","propertytype","duration","price","postcode","lad23cd","transactionid","lmk_key","tfarea","numberrooms","classt","CURRENT_ENERGY_EFFICIENCY","POTENTIAL_ENERGY_EFFICIENCY","CONSTRUCTION_AGE_BAND"
4351.64835164835,2002,2002-12-06,"F","L",198000,"E1 8RB","E09000001","{6C4E5F5C-3C58-446D-8676-C3CDD961CAB8}","542072661032010091822445956968803",45.5,2,11,84,88,"England and Wales: 1983-1990"
3619.58836053939,2000,2000-03-08,"F","L",153000,"EC4V 3PL","E09000001","{D4886E7B-0F98-4255-93F5-42946A43D503}","526623989342010081222564479809228",42.27,2,12,83,84,"England and Wales: 1996-2002"
5441.21126094157,2002,2002-09-26,"F","L",230000,"EC4V 3PL","E09000001","{25475B09-53BE-4738-AD78-22315C76E705}","526623989342010081222564479809228",42.27,2,12,83,84,"England and Wales: 1996-2002"
11462.7659574468,2014,2014-05-27,"F","L",1077500,"EC1A 7HN","E09000001","{5F107CC0-E753-41BE-8747-41680C2642C9}","878247563352013013119282897770104",94,3,12,80,83,"England and Wales: 1950-1966"
3170.21276595745,1999,1999-04-23,"F","L",298000,"EC1A 7HN","E09000001","{527813A5-9E07-406A-9F17-7F5A9C83B9A4}","878247563352013013119282897770104",94,3,12,80,83,"England and Wales: 1950-1966"
4125.26595744681,2005,2005-03-17,"F","L",387775,"EC1A 7HN","E09000001","{C163D18E-6960-45FB-AC9B-E7B1E161D68D}","878247563352013013119282897770104",94,3,12,80,83,"England and Wales: 1950-1966"
7526.42102256498,2011,2011-08-03,"F","L",527000,"EC4V 5DE","E09000001","{C6859718-5AD3-45F0-A615-063FD77478DD}","85147635012009123109353206719046",70.02,3,12,68,73,"England and Wales: 1900-1929"
10208.3333333333,2022,2022-01-21,"F","L",490000,"EC4A 1EP","E09000001","{DE2D0CDF-F797-51EE-E053-6C04A8C00671}","e945b620789bef005316b21cbd295a43066fe5a4d505e84854e29f9ffb4cad66",48,2,12,82,86,"England and Wales: 2003-2006"
12713.2352941176,2014,2014-11-26,"F","L",864500,"EC2Y 5AG","E09000001","{0777A36F-E78E-42A6-8478-592ADE7B5E7D}","1186305758212014080615171594040628",68,NA,12,86,86,"NO DATA!"
1271.42857142857,1996,1996-01-29,"F","L",57850,"E1 8RB","E09000001","{DD0F1D01-EFDB-43AF-AD10-E93E3D4D1051}","542047089922010091822353709888140",45.5,2,12,84,88,"England and Wales: 1983-1990"
2931.25,2000,2000-02-24,"F","L",117250,"EC1Y 0RE","E09000001","{576EA64E-9A4D-4628-8FC1-E412BC134CB3}","290908202912009052307135103910861",40,1,12,75,80,"England and Wales: 1950-1966"
1868.13186813187,1997,1997-02-28,"F","L",85000,"E1 8RB","E09000001","{6220B58D-5172-477B-967C-C4CAFBBBA709}","542175308712010091910025999900572",45.5,2,12,84,87,"England and Wales: 1983-1990"
10422.0779220779,2015,2015-10-16,"F","L",802500,"EC1Y 0ST","E09000001","{23B6165E-9D97-FCF4-E050-A8C0620577FA}","651980999022011070809531558038509",77,4,12,70,70,"England and Wales: 1950-1966"
3818.18181818182,2000,2000-04-14,"F","L",168000,"EC3R 8DR","E09000001","{0428DD76-AB28-4FB2-A709-474B60E6BAD2}","07a5aae6fd83f9b445821a03073aebd6ae4028d5e60291744de6e6d495965999",44,2,11,83,87,"England and Wales: 1996-2002"
15189.8734177215,2019,2019-08-16,"F","L",1200000,"EC2Y 5AG","E09000001","{93E6821D-E5C2-40FD-E053-6B04A8C0C1DF}","1186252058432014080615222995078808",79,NA,11,88,88,"NO DATA!"
3551.13636363636,1999,1999-09-03,"F","L",250000,"EC1A 7HN","E09000001","{8BF3DD0A-95AC-48BD-9F41-C7D22A79FFD0}","299221220062009060712044052658071",70.4,3,11,76,80,"England and Wales: 1996-2002"
